Provincias;Sector económico;Periodo;Total
Total Nacional;Servicios;2025T4;72,4
Total Nacional;Servicios;2025T3;72,2
Total Nacional;Servicios;2025T2;72,3
Total Nacional;Servicios;2025T1;72,3
Total Nacional;Servicios;2024T4;72,5
Total Nacional;Servicios;2024T3;72,2
Total Nacional;Servicios;2024T2;72,0
Total Nacional;Servicios;2024T1;72,2
Total Nacional;Servicios;2023T4;71,8
Total Nacional;Servicios;2023T3;72,1
Total Nacional;Servicios;2023T2;72,3
Total Nacional;Servicios;2023T1;71,3
Total Nacional;Servicios;2022T4;71,0
Total Nacional;Servicios;2022T3;71,0
Total Nacional;Servicios;2022T2;70,5
Total Nacional;Servicios;2022T1;70,1
Total Nacional;Servicios;2021T4;69,8
Total Nacional;Servicios;2021T3;69,4
Total Nacional;Servicios;2021T2;68,3
Total Nacional;Servicios;2021T1;69,1
Total Nacional;Servicios;2020T4;69,5
Total Nacional;Servicios;2020T3;70,2
Total Nacional;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2025T4;4,6
Total Nacional;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2025T3;4,9
Total Nacional;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2025T2;4,9
Total Nacional;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2025T1;5,1
Total Nacional;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2024T4;5,0
Total Nacional;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2024T3;5,4
Total Nacional;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2024T2;5,4
Total Nacional;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2024T1;5,5
Total Nacional;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2023T4;5,7
Total Nacional;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2023T3;5,8
Total Nacional;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2023T2;5,6
Total Nacional;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2023T1;6,2
Total Nacional;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2022T4;6,5
Total Nacional;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2022T3;6,4
Total Nacional;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2022T2;6,7
Total Nacional;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2022T1;7,1
Total Nacional;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2021T4;7,3
Total Nacional;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2021T3;8,0
Total Nacional;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2021T2;8,9
Total Nacional;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2021T1;7,8
Total Nacional;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2020T4;7,5
Total Nacional;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2020T3;7,0
02 Albacete;Servicios;2025T4;63,9
02 Albacete;Servicios;2025T3;62,6
02 Albacete;Servicios;2025T2;62,8
02 Albacete;Servicios;2025T1;65,0
02 Albacete;Servicios;2024T4;63,2
02 Albacete;Servicios;2024T3;64,0
02 Albacete;Servicios;2024T2;66,4
02 Albacete;Servicios;2024T1;66,2
02 Albacete;Servicios;2023T4;65,3
02 Albacete;Servicios;2023T3;68,7
02 Albacete;Servicios;2023T2;68,3
02 Albacete;Servicios;2023T1;65,9
02 Albacete;Servicios;2022T4;65,1
02 Albacete;Servicios;2022T3;66,2
02 Albacete;Servicios;2022T2;62,3
02 Albacete;Servicios;2022T1;59,4
02 Albacete;Servicios;2021T4;61,2
02 Albacete;Servicios;2021T3;61,4
02 Albacete;Servicios;2021T2;63,3
02 Albacete;Servicios;2021T1;63,9
02 Albacete;Servicios;2020T4;64,4
02 Albacete;Servicios;2020T3;66,8
02 Albacete;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2025T4;5,3
02 Albacete;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2025T3;4,8
02 Albacete;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2025T2;5,8
02 Albacete;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2025T1;4,7
02 Albacete;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2024T4;5,5
02 Albacete;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2024T3;4,4
02 Albacete;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2024T2;3,9
