provincia,sector,periodo,total
Total Nacional,Servicios,2025-10-01,72.4
Total Nacional,Servicios,2025-07-01,72.2
Total Nacional,Servicios,2025-04-01,72.3
Total Nacional,Servicios,2025-01-01,72.3
Total Nacional,Servicios,2024-10-01,72.5
Total Nacional,Servicios,2024-07-01,72.2
Total Nacional,Servicios,2024-04-01,72.0
Total Nacional,Servicios,2024-01-01,72.2
Total Nacional,Servicios,2023-10-01,71.8
Total Nacional,Servicios,2023-07-01,72.1
Total Nacional,Servicios,2023-04-01,72.3
Total Nacional,Servicios,2023-01-01,71.3
Total Nacional,Servicios,2022-10-01,71.0
Total Nacional,Servicios,2022-07-01,71.0
Total Nacional,Servicios,2022-04-01,70.5
Total Nacional,Servicios,2022-01-01,70.1
Total Nacional,Servicios,2021-10-01,69.8
Total Nacional,Servicios,2021-07-01,69.4
Total Nacional,Servicios,2021-04-01,68.3
Total Nacional,Servicios,2021-01-01,69.1
Total Nacional,Servicios,2020-10-01,69.5
Total Nacional,Servicios,2020-07-01,70.2
Total Nacional,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2025-10-01,4.6
Total Nacional,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2025-07-01,4.9
Total Nacional,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2025-04-01,4.9
Total Nacional,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2025-01-01,5.1
Total Nacional,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2024-10-01,5.0
Total Nacional,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2024-07-01,5.4
Total Nacional,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2024-04-01,5.4
Total Nacional,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2024-01-01,5.5
Total Nacional,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2023-10-01,5.7
Total Nacional,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2023-07-01,5.8
Total Nacional,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2023-04-01,5.6
Total Nacional,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2023-01-01,6.2
Total Nacional,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2022-10-01,6.5
Total Nacional,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2022-07-01,6.4
Total Nacional,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2022-04-01,6.7
Total Nacional,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2022-01-01,7.1
Total Nacional,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2021-10-01,7.3
Total Nacional,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2021-07-01,8.0
Total Nacional,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2021-04-01,8.9
Total Nacional,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2021-01-01,7.8
Total Nacional,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2020-10-01,7.5
Total Nacional,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2020-07-01,7.0
Albacete,Servicios,2025-10-01,63.9
Albacete,Servicios,2025-07-01,62.6
Albacete,Servicios,2025-04-01,62.8
Albacete,Servicios,2025-01-01,65.0
Albacete,Servicios,2024-10-01,63.2
Albacete,Servicios,2024-07-01,64.0
Albacete,Servicios,2024-04-01,66.4
Albacete,Servicios,2024-01-01,66.2
Albacete,Servicios,2023-10-01,65.3
Albacete,Servicios,2023-07-01,68.7
Albacete,Servicios,2023-04-01,68.3
Albacete,Servicios,2023-01-01,65.9
Albacete,Servicios,2022-10-01,65.1
Albacete,Servicios,2022-07-01,66.2
Albacete,Servicios,2022-04-01,62.3
Albacete,Servicios,2022-01-01,59.4
Albacete,Servicios,2021-10-01,61.2
Albacete,Servicios,2021-07-01,61.4
Albacete,Servicios,2021-04-01,63.3
Albacete,Servicios,2021-01-01,63.9
Albacete,Servicios,2020-10-01,64.4
Albacete,Servicios,2020-07-01,66.8
Albacete,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2025-10-01,5.3
Albacete,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2025-07-01,4.8
Albacete,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2025-04-01,5.8
Albacete,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2025-01-01,4.7
Albacete,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2024-10-01,5.5
Albacete,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2024-07-01,4.4
Albacete,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2024-04-01,3.9
Albacete,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2024-01-01,4.7
Albacete,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2023-10-01,5.8
Albacete,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2023-07-01,4.6
Albacete,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2023-04-01,5.0
Albacete,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2023-01-01,5.7
Albacete,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2022-10-01,4.4
Albacete,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2022-07-01,3.9
Albacete,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2022-04-01,5.7
Albacete,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2022-01-01,8.4
Albacete,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2021-10-01,6.5
Albacete,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2021-07-01,8.5
Albacete,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2021-04-01,8.1
Albacete,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2021-01-01,10.7
Albacete,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2020-10-01,10.9
Albacete,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2020-07-01,7.4
Alicante/Alacant,Servicios,2025-10-01,68.5
Alicante/Alacant,Servicios,2025-07-01,68.7
Alicante/Alacant,Servicios,2025-04-01,67.7
Alicante/Alacant,Servicios,2025-01-01,69.5
Alicante/Alacant,Servicios,2024-10-01,71.1
Alicante/Alacant,Servicios,2024-07-01,69.7
Alicante/Alacant,Servicios,2024-04-01,70.6
Alicante/Alacant,Servicios,2024-01-01,70.4
Alicante/Alacant,Servicios,2023-10-01,69.9
Alicante/Alacant,Servicios,2023-07-01,71.0
Alicante/Alacant,Servicios,2023-04-01,70.4
Alicante/Alacant,Servicios,2023-01-01,68.2
Alicante/Alacant,Servicios,2022-10-01,67.0
Alicante/Alacant,Servicios,2022-07-01,68.1
Alicante/Alacant,Servicios,2022-04-01,67.3
Alicante/Alacant,Servicios,2022-01-01,68.1
Alicante/Alacant,Servicios,2021-10-01,68.2
Alicante/Alacant,Servicios,2021-07-01,69.2
Alicante/Alacant,Servicios,2021-04-01,67.8
Alicante/Alacant,Servicios,2021-01-01,69.0
Alicante/Alacant,Servicios,2020-10-01,69.4
Alicante/Alacant,Servicios,2020-07-01,71.6
Alicante/Alacant,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2025-10-01,5.5
Alicante/Alacant,Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año,2025-07-01,6.6
