Operación	Total Nacional	Comunidades y Ciudades Autónomas	Residencia: Nivel 1	Residencia: Nivel 2	Viajeros y pernoctaciones	Periodo	Total
Encuesta de Ocupación Hotelera	Total Nacional		Total		Viajero	2026M01	5.948.424
Encuesta de Ocupación Hotelera	Total Nacional		Total		Viajero	2025M12	6.937.385
Encuesta de Ocupación Hotelera	Total Nacional		Total		Viajero	2025M11	7.413.495
Encuesta de Ocupación Hotelera	Total Nacional		Total		Viajero	2025M10	11.041.430
Encuesta de Ocupación Hotelera	Total Nacional		Total		Viajero	2025M09	12.050.972
Encuesta de Ocupación Hotelera	Total Nacional		Total		Viajero	2025M08	13.828.672
Encuesta de Ocupación Hotelera	Total Nacional		Total		Viajero	2025M07	13.044.764
Encuesta de Ocupación Hotelera	Total Nacional		Total		Viajero	2025M06	12.256.716
Encuesta de Ocupación Hotelera	Total Nacional		Total		Viajero	2025M05	11.803.477
Encuesta de Ocupación Hotelera	Total Nacional		Total		Viajero	2025M04	10.018.537
Encuesta de Ocupación Hotelera	Total Nacional		Total		Viajero	2025M03	7.680.722
Encuesta de Ocupación Hotelera	Total Nacional		Total		Viajero	2025M02	6.539.960
Encuesta de Ocupación Hotelera	Total Nacional		Total		Viajero	2025M01	5.774.050
Encuesta de Ocupación Hotelera	Total Nacional		Total		Viajero	2024M12	6.561.380
Encuesta de Ocupación Hotelera	Total Nacional		Total		Viajero	2024M11	7.152.418
Encuesta de Ocupación Hotelera	Total Nacional		Total		Viajero	2024M10	10.757.739
Encuesta de Ocupación Hotelera	Total Nacional		Total		Viajero	2024M09	11.753.507
Encuesta de Ocupación Hotelera	Total Nacional		Total		Viajero	2024M08	13.622.908
Encuesta de Ocupación Hotelera	Total Nacional		Total		Viajero	2024M07	12.692.328
Encuesta de Ocupación Hotelera	Total Nacional		Total		Viajero	2024M06	11.865.112
Encuesta de Ocupación Hotelera	Total Nacional		Total		Viajero	2024M05	11.768.411
Encuesta de Ocupación Hotelera	Total Nacional		Total		Viajero	2024M04	9.386.103
Encuesta de Ocupación Hotelera	Total Nacional		Total		Viajero	2024M03	8.433.226
Encuesta de Ocupación Hotelera	Total Nacional		Total		Viajero	2024M02	6.512.168
Encuesta de Ocupación Hotelera	Total Nacional		Total		Viajero	2024M01	5.660.859
Encuesta de Ocupación Hotelera	Total Nacional		Total		Viajero	2023M12	6.586.138
