tipo_alojamiento,comunidad,residencia,tipo_metrica,periodo,total
Hotelera,Total Nacional,Total,Viajero,2026-01-01,5948424.0
Hotelera,Total Nacional,Total,Viajero,2025-12-01,6937385.0
Hotelera,Total Nacional,Total,Viajero,2025-11-01,7413495.0
Hotelera,Total Nacional,Total,Viajero,2025-10-01,11041430.0
Hotelera,Total Nacional,Total,Viajero,2025-09-01,12050972.0
Hotelera,Total Nacional,Total,Viajero,2025-08-01,13828672.0
Hotelera,Total Nacional,Total,Viajero,2025-07-01,13044764.0
Hotelera,Total Nacional,Total,Viajero,2025-06-01,12256716.0
Hotelera,Total Nacional,Total,Viajero,2025-05-01,11803477.0
Hotelera,Total Nacional,Total,Viajero,2025-04-01,10018537.0
Hotelera,Total Nacional,Total,Viajero,2025-03-01,7680722.0
Hotelera,Total Nacional,Total,Viajero,2025-02-01,6539960.0
Hotelera,Total Nacional,Total,Viajero,2025-01-01,5774050.0
Hotelera,Total Nacional,Total,Viajero,2024-12-01,6561380.0
Hotelera,Total Nacional,Total,Viajero,2024-11-01,7152418.0
Hotelera,Total Nacional,Total,Viajero,2024-10-01,10757739.0
Hotelera,Total Nacional,Total,Viajero,2024-09-01,11753507.0
Hotelera,Total Nacional,Total,Viajero,2024-08-01,13622908.0
Hotelera,Total Nacional,Total,Viajero,2024-07-01,12692328.0
Hotelera,Total Nacional,Total,Viajero,2024-06-01,11865112.0
Hotelera,Total Nacional,Total,Viajero,2024-05-01,11768411.0
Hotelera,Total Nacional,Total,Viajero,2024-04-01,9386103.0
Hotelera,Total Nacional,Total,Viajero,2024-03-01,8433226.0
Hotelera,Total Nacional,Total,Viajero,2024-02-01,6512168.0
Hotelera,Total Nacional,Total,Viajero,2024-01-01,5660859.0
Hotelera,Total Nacional,Total,Viajero,2023-12-01,6586138.0
Hotelera,Total Nacional,Total,Viajero,2023-11-01,6798815.0
Hotelera,Total Nacional,Total,Viajero,2023-10-01,10390441.0
Hotelera,Total Nacional,Total,Viajero,2023-09-01,11627872.0
Hotelera,Total Nacional,Total,Viajero,2023-08-01,13266497.0
Hotelera,Total Nacional,Total,Viajero,2023-07-01,12680483.0
Hotelera,Total Nacional,Total,Viajero,2023-06-01,11535550.0
Hotelera,Total Nacional,Total,Viajero,2023-05-01,10580202.0
Hotelera,Total Nacional,Total,Viajero,2023-04-01,9829384.0
Hotelera,Total Nacional,Total,Viajero,2023-03-01,7361364.0
Hotelera,Total Nacional,Total,Viajero,2023-02-01,5967064.0
Hotelera,Total Nacional,Total,Viajero,2023-01-01,5367962.0
Hotelera,Total Nacional,Total,Viajero,2022-12-01,6054556.0
Hotelera,Total Nacional,Total,Viajero,2022-11-01,6284698.0
Hotelera,Total Nacional,Total,Viajero,2022-10-01,9743259.0
Hotelera,Total Nacional,Total,Viajero,2022-09-01,11050305.0
Hotelera,Total Nacional,Total,Viajero,2022-08-01,12889916.0
Hotelera,Total Nacional,Total,Viajero,2022-07-01,12292936.0
Hotelera,Total Nacional,Total,Viajero,2022-06-01,10990468.0
Hotelera,Total Nacional,Total,Viajero,2022-05-01,9920671.0
Hotelera,Total Nacional,Total,Viajero,2022-04-01,8689822.0
Hotelera,Total Nacional,Total,Viajero,2022-03-01,6061398.0
Hotelera,Total Nacional,Total,Viajero,2022-02-01,5133961.0
Hotelera,Total Nacional,Total,Viajero,2022-01-01,3770578.0
Hotelera,Total Nacional,Total,Viajero,2021-12-01,4881952.0
Hotelera,Total Nacional,Total,Viajero,2021-11-01,5391958.0
Hotelera,Total Nacional,Total,Viajero,2021-10-01,8131666.0
Hotelera,Total Nacional,Total,Viajero,2021-09-01,8256057.0
Hotelera,Total Nacional,Total,Viajero,2021-08-01,10408035.0
Hotelera,Total Nacional,Total,Viajero,2021-07-01,8544001.0
Hotelera,Total Nacional,Total,Viajero,2021-06-01,5676067.0
Hotelera,Total Nacional,Total,Viajero,2021-05-01,3404118.0
Hotelera,Total Nacional,Total,Viajero,2021-04-01,1955719.0
Hotelera,Total Nacional,Total,Viajero,2021-03-01,1770722.0
